iter	Passed	Remaining
0	0	65
1	1	60
2	1	60
3	2	55
4	2	55
5	3	54
6	4	53
7	4	52
8	5	52
9	5	51
10	6	52
11	7	52
12	7	52
13	8	53
14	9	52
15	10	53
16	10	52
17	11	52
18	12	51
19	12	51
20	13	51
21	14	50
22	15	50
23	15	49
24	16	49
25	16	48
26	17	47
27	18	46
28	18	46
29	19	46
30	20	45
31	21	44
32	21	44
33	22	43
34	23	43
35	23	42
36	24	41
37	25	41
38	26	40
39	27	40
40	27	39
41	28	38
42	28	38
43	29	37
44	30	37
45	30	36
46	31	35
47	32	34
48	33	34
49	34	34
50	34	33
51	35	33
52	36	32
53	37	31
54	37	30
55	38	30
56	38	29
57	39	28
58	40	28
59	41	27
60	42	27
61	43	26
62	43	25
63	44	25
64	45	24
65	45	23
66	46	22
67	47	22
68	47	21
69	48	20
70	49	20
71	49	19
72	50	18
73	51	17
74	51	17
75	52	16
76	53	15
77	53	15
78	54	14
79	55	13
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	61	9
87	61	8
88	62	7
89	63	7
90	63	6
91	64	5
92	65	4
93	65	4
94	66	3
95	67	2
96	68	2
97	68	1
98	69	0
99	70	0
