iter	Passed	Remaining
0	144	144546
1	146	72913
2	147	49073
3	149	37134
4	150	29865
5	151	25076
6	152	21659
7	153	19037
8	155	17141
9	156	15532
10	157	14189
11	158	13069
12	160	12158
13	160	11333
14	161	10599
15	162	9971
16	162	9405
17	163	8901
18	163	8457
19	164	8068
20	165	7704
21	165	7373
22	166	7070
23	166	6790
24	167	6530
25	167	6291
26	168	6077
27	169	5876
28	169	5690
29	170	5515
30	171	5351
31	171	5199
32	172	5053
33	173	4918
34	173	4787
35	174	4665
36	174	4548
37	175	4438
38	175	4333
39	176	4232
40	176	4138
41	177	4057
42	178	3969
43	178	3887
44	179	3811
45	180	3737
46	180	3664
47	181	3594
48	181	3528
49	182	3464
50	182	3404
51	183	3345
52	184	3292
53	184	3238
54	185	3184
55	185	3134
56	186	3085
57	186	3036
58	187	2990
59	187	2944
60	188	2900
61	188	2858
62	189	2817
63	189	2776
64	190	2738
65	190	2702
66	191	2665
67	191	2630
68	192	2599
69	193	2566
70	193	2534
71	194	2502
72	194	2472
73	195	2441
74	195	2412
75	196	2383
76	196	2356
77	197	2329
78	197	2307
79	198	2284
80	199	2263
81	200	2240
82	200	2215
83	201	2192
84	201	2169
85	202	2147
86	202	2125
87	203	2103
88	203	2082
89	204	2065
90	204	2045
91	205	2026
92	206	2009
93	206	1991
94	207	1973
95	207	1955
96	208	1937
97	208	1919
98	209	1902
99	209	1885
100	210	1869
101	210	1853
102	211	1838
103	211	1822
104	212	1809
105	212	1795
106	213	1781
107	214	1768
108	214	1755
109	215	1742
110	215	1728
111	216	1715
112	216	1702
113	217	1690
114	218	1678
115	218	1665
116	218	1652
117	219	1641
118	220	1630
119	220	1618
120	221	1606
121	221	1594
122	222	1583
123	222	1572
124	223	1561
125	223	1551
126	223	1539
127	224	1532
128	225	1522
129	226	1512
130	226	1502
131	227	1493
132	227	1483
133	228	1474
134	228	1464
135	229	1456
136	229	1448
137	230	1440
138	231	1434
139	232	1426
140	232	1417
141	232	1407
142	233	1399
143	234	1391
144	234	1383
145	235	1374
146	235	1366
147	236	1358
148	236	1350
149	237	1343
150	237	1335
151	238	1328
152	238	1321
153	239	1313
154	239	1307
155	240	1300
156	240	1293
157	241	1286
158	242	1280
159	242	1273
160	242	1265
161	243	1258
162	243	1251
163	244	1245
164	245	1241
165	245	1235
166	246	1229
167	247	1225
168	248	1220
169	248	1214
170	249	1208
171	249	1202
172	250	1196
173	250	1190
174	251	1185
175	252	1180
176	252	1174
177	253	1169
178	253	1163
179	254	1158
180	254	1152
181	255	1147
182	255	1141
183	256	1136
184	256	1131
185	257	1125
186	257	1120
187	258	1115
188	258	1110
189	259	1105
190	260	1101
191	260	1097
192	261	1093
193	262	1089
194	262	1084
195	263	1080
196	263	1075
197	264	1070
198	264	1066
199	265	1061
200	265	1056
201	266	1052
202	266	1047
203	267	1044
204	268	1039
205	268	1035
206	269	1031
207	269	1026
208	270	1022
209	270	1017
210	271	1014
211	271	1010
212	272	1006
213	272	1002
214	273	997
215	274	994
216	274	991
217	275	988
218	276	984
219	276	981
220	277	977
221	277	973
222	278	970
223	279	967
224	279	963
225	280	960
226	281	957
227	281	953
228	282	950
229	282	946
230	283	943
231	283	939
232	284	936
233	285	933
234	285	930
235	286	927
236	287	924
237	288	922
238	288	919
239	289	916
240	289	913
241	290	910
242	291	907
243	292	906
244	293	903
245	293	900
246	294	898
247	295	895
248	296	893
249	296	890
250	297	887
251	298	885
252	298	882
253	299	879
254	299	876
255	300	873
256	301	871
257	301	868
258	302	865
259	302	862
260	303	859
261	303	856
262	304	853
263	305	850
264	305	848
265	306	845
266	306	842
267	307	840
268	308	838
269	309	835
270	309	832
271	310	829
272	310	827
273	311	824
274	311	821
275	312	819
276	312	816
277	313	814
278	314	812
279	315	810
280	315	807
281	316	805
282	316	802
283	317	799
284	317	796
285	318	794
286	318	792
287	319	789
288	319	786
289	320	785
290	321	782
291	322	780
292	322	778
293	323	776
294	324	774
295	324	772
296	325	770
